"Trefferliste-Dokumenttyp","Kürzel interner Dokumenttyp","Name int. Dokumenttyp"
"Handschriften","MS","Handschriften"
"","textms","Texthandschrift"
"","musicms","Musikhandschrift"
"","letter","Brief"
"","autograph","Autograph"
"Archivalien","item","Archivdokument"
"","*/AR/","Archivmaterial"
"","fonds","Bestand"
"","series","Serie"
"","file","Dossier"
"Drucke/Rara","PR","Alter Druck / Rara"
"","PP","Einblattdrucke"
"","work","Gesamtwerk"
"","journal","Zeitschrift"
"","newspaper","Zeitung"
"Musikalien","MR","Musikaufnahme"
"","SM","Musiknoten"
"","cd","CD  SACD"
"","record","Schallplatte"
"","score","Partitur"
"","study","Studienpartitur"
"","reduction","Klavierauszug"
"","piano","Klavierbearbeitung"
"","condensed","Particellchorus"
"","chorus","Chorpartitur"
"","parts","Stimmen"
"","conductor","Direktionsstimme"
"","performance","Aufführungsmaterial"
"","musicms","Musikhandschrift"
"Karten","MP","Karte"
"","oldmap","Altkarte"
"","map","Karte"
"","mapwork","Kartenwerk"
"","city","Stadtplan"
"","wall","Wandkarte"
"","world","Weltkarte"
"","mapprint","Gedruckte Karte"
"","atlas","Atlas"
"","globus","Globus"
"","mapms","Manuskriptkarte"
"","panorama","Panorama"
"","relief","Relief (Geländemodell"
"","profil","Profil, Schnitt"
"Bilder","IO","Bild / Objekt"
"","aquarell","Aquarell"
"","aquatinta","Aquatinta"
"","autotypie","Autotypie"
"","collage","Collage"
"","cyanotypie","Cyanotypie"
"","daguerreotypie","Daguerreotypie"
"","digitalerAusdruck","Digitaler Ausdruck"
"","druckplatte","Druckplatte"
"","druckstock","Druckstock"
"","fotokopie","Fotokopie"
"","glasmalerei","Glasmalerei"
"","praegedruck","Prägedruck"
"","gouache","Gouache"
"","heliogravuere","Heliogravüre"
"","holzschnitt","Holzschnitt"
"","holzstich","Holzstich"
"","kontaktkopie","Kontaktkopie"
"","kupferstich","Kupferstich"
"","laserprint","Laserprint"
"","lichtdruck","Lichtdruck"
"","linolschnitt","Linolschnitt"
"","lithographie","Lithographie"
"","offsetdruck","Offsetdruck"
"","pastellzeichnung","Pastellzeichnung"
"","photochrom","Photochrom"
"","radierung","Radierung"
"","rakeltiefdruck","Rakeltiefdruck"
"","rasterdruck","Rasterdruck"
"","schabkunst","Schabkunst"
"","stahlstich","Stahlstich"
"","strichklischee","Strichklischee"
"","umrissradierung","Umrissradierung"
"","zinkdruck","Zinkdruck"
"Film/Video","VM","Filmmaterial"
"Dokumentensammlung","DS","Dokumentensammlung"
"","person","Personen"
"","corporate","Körperschaften und Organisationen"
"","subject","Sachthemen"
"Bibliographien","BE","Bibliographischer Eintrag"
"","basel","Eintrag Basler Bibliographie"
"","bern","Eintrag Berner Bibliographie"
"","zurich","Eintrag Zürcher Bibliographie"
